2024-12-03 14:38:54 [JavaFX Application Thread] INFO : Маршрут найден: Путь: Улица Дыбенко -> Проспект Большевиков -> Ладожская -> Новочеркасская -> Площадь Александра Невского 2 -> Площадь Александра Невского 1 -> Маяковская -> Гостиный двор -> Василеостровская -> Приморская -> Зенит -> Беговая
Время в пути: 24,8 минут.
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 21: 18.2
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 8
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 65
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 66: 19.599999999999998
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 32
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 33: 19.999999999999996
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 21
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 13: 20.2
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 22: 18.4
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 41
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 40: 18.3
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 68: 19.7
